group_name,project_name,branch_count,,,
TechnologyCommittee,PHP-FIG,1,,ats,0
vendor-support,productai,1,,bi_services,0
bi-source,VisualDataMining,0,,jpanalysis,0
bi-source,vest,0,,analysis,0
bi-source-bak,zeus-src,0,,jp-analysis,0
bi-source-bak,zeus-src2,0,,bis-framework,0
bi-source-bak,xuanyuan,0,,user_insight,0
bi-source-bak,user_insight,0,,bis_services,0
bi-source-bak,rdap,0,,demo,0
bi-source-bak,otter-otter-4.2.12,0,,hbasebulkload,0
bi-source-bak,otter,0,,bulkload,0
bi-source-bak,juanpi-trace-client,0,,android,0
bi-source-bak,juanpi-sdk-demo,0,,dema,0
bi-source-bak,jpanalysis,0,,ios,0
bi-source-bak,jp-analysis,0,,pay-sdk,0
bi-source-bak,jp_analysis,0,,jp_analysis,0
bi-source-bak,ia.xuanyuan,0,,vest,0
bi-source-bak,hbase-get,0,,bis_frame,0
bi-source-bak,hbasebulkload,0,,VisualDataMining,0
bi-source-bak,Dump,0,,bis_framework,0
bi-source-bak,bulkload,0,,AlphaKu,0
bi-source-bak,bis-services,0,,back,0
bi-source-bak,bis_services,0,,phpDocumentor,0
bi-source-bak,bis-service,0,,qa,0
bi-source-bak,bis,0,,bis,0
bi-source-bak,bis-framework,0,,backfff,0
bi-source-bak,bis_framework,0,,bis-service,0
bi-source-bak,bis-frame,0,,otter,0
bi-source-bak,bis_frame,0,,backlog,0
bi-source-bak,bi_services,0,,hbase-get,0
bi-source-bak,bi-services1,0,,bi-hbase,0
bi-source-bak,bi-hbase,0,,zeus-src,0
bi-source-bak,backlog,0,,bis-services,0
bi-source-bak,back,0,,bis-frame,0
bi-source-bak,backfff,0,,invoice-cron,0
bi-source-bak,analysis,0,,juanpi-sdk-demo,0
finance,invoice-cron,0,,总计,8900
ia.ec,dema,0,,,
in.juanpi.com,ios,0,,,
in.juanpi.com,android,0,,,
JGT,http-restful,0,,,
logtech,AlphaKu,0,,,
pay,pay-sdk,0,,,
phpsdk,demo,0,,,
TechnologyCommittee,qa,0,,,
TechnologyCommittee,ats,0,,,
TechnologyCommittee,phpDocumentor,0,,,
